AREA,AREA NAME,LAT,LON,Crime Count,Area Total,Crime %
1,Central,34.0561,-118.2375,2413,69668,3.46
1,Central,34.0483,-118.2631,1834,69668,2.63
1,Central,34.048,-118.2577,1177,69668,1.69
1,Central,34.0421,-118.2469,783,69668,1.12
1,Central,34.046,-118.251,752,69668,1.08
2,Rampart,34.0595,-118.2749,1269,46824,2.71
2,Rampart,34.0786,-118.2788,718,46824,1.53
5,Harbor,33.798,-118.2604,417,41392,1.01
6,Hollywood,34.1016,-118.3387,1305,52429,2.49
6,Hollywood,34.1036,-118.3049,761,52429,1.45
6,Hollywood,34.1034,-118.3325,735,52429,1.4
6,Hollywood,34.103,-118.3225,700,52429,1.34
6,Hollywood,34.0981,-118.3092,617,52429,1.18
6,Hollywood,34.1038,-118.3151,570,52429,1.09
6,Hollywood,34.1015,-118.3417,557,52429,1.06
6,Hollywood,34.1007,-118.3494,538,52429,1.03
7,Wilshire,34.0736,-118.3563,1364,48237,2.83
7,Wilshire,34.0669,-118.3456,1080,48237,2.24
7,Wilshire,34.0761,-118.3766,666,48237,1.38
7,Wilshire,34.0761,-118.3732,568,48237,1.18
8,West LA,34.0428,-118.4582,1470,45725,3.21
8,West LA,34.0611,-118.4184,1307,45725,2.86
8,West LA,34.0425,-118.3818,682,45725,1.49
9,Van Nuys,34.1576,-118.4387,687,42881,1.6
9,Van Nuys,34.2131,-118.4584,596,42881,1.39
9,Van Nuys,34.174,-118.4661,479,42881,1.12
9,Van Nuys,34.1903,-118.4574,477,42881,1.11
9,Van Nuys,34.1976,-118.4574,451,42881,1.05
10,West Valley,34.166,-118.5095,595,42146,1.41
10,West Valley,34.2148,-118.5404,507,42146,1.2
11,Northeast,34.0724,-118.2467,475,42951,1.11
11,Northeast,34.0884,-118.2258,454,42951,1.06
13,Newton,34.0075,-118.2775,569,49173,1.16
14,Pacific,33.9455,-118.4001,1106,59513,1.86
14,Pacific,33.9761,-118.3726,660,59513,1.11
14,Pacific,33.9523,-118.3906,653,59513,1.1
15,N Hollywood,34.172,-118.3789,744,51106,1.46
15,N Hollywood,34.143,-118.3727,567,51106,1.11
15,N Hollywood,34.167,-118.3759,550,51106,1.08
16,Foothill,34.2166,-118.3919,414,33129,1.25
17,Devonshire,34.244,-118.5583,1532,41743,3.67
17,Devonshire,34.2757,-118.5144,605,41743,1.45
17,Devonshire,34.2322,-118.5113,420,41743,1.01
19,Mission,34.2153,-118.4409,545,40342,1.35
19,Mission,34.2215,-118.4488,408,40342,1.01
19,Mission,34.2265,-118.4565,407,40342,1.01
20,Olympic,34.0652,-118.2878,975,50070,1.95
20,Olympic,34.0636,-118.3047,756,50070,1.51
21,Topanga,34.1904,-118.6059,1131,41365,2.73
21,Topanga,34.1883,-118.6274,989,41365,2.39
21,Topanga,34.1884,-118.5975,550,41365,1.33
