AREA,AREA NAME,AREA Count,LAT,LON,AREA %
1,Central,69668,34.0561,-118.2375,6.93
12,77th Street,61756,33.9892,-118.3089,6.15
14,Pacific,59513,33.9455,-118.4001,5.92
3,Southwest,57434,34.0268,-118.2896,5.72
6,Hollywood,52429,34.1016,-118.3387,5.22
15,N Hollywood,51106,34.172,-118.3789,5.09
20,Olympic,50070,34.0652,-118.2878,4.98
18,Southeast,49929,33.9367,-118.2871,4.97
13,Newton,49173,34.0075,-118.2775,4.89
7,Wilshire,48237,34.0736,-118.3563,4.8
2,Rampart,46824,34.0595,-118.2749,4.66
8,West LA,45725,34.0428,-118.4582,4.55
11,Northeast,42951,34.0724,-118.2467,4.27
9,Van Nuys,42881,34.1576,-118.4387,4.27
10,West Valley,42146,34.166,-118.5095,4.19
17,Devonshire,41743,34.244,-118.5583,4.15
5,Harbor,41392,33.798,-118.2604,4.12
21,Topanga,41365,34.1904,-118.6059,4.12
19,Mission,40342,34.2153,-118.4409,4.01
4,Hollenbeck,37081,34.034,-118.1969,3.69
16,Foothill,33129,34.2166,-118.3919,3.3
