Crm Cd Desc,Vict Sex,Vict Age Group,Weapon Category,Crime Count,Crime %
ARSON,M,35-49,No weapon / unknown,228,15.58
ARSON,M,50-64,No weapon / unknown,178,12.17
ARSON,F,35-49,No weapon / unknown,130,8.89
ARSON,F,50-64,No weapon / unknown,121,8.27
ARSON,M,25-34,No weapon / unknown,97,6.63
ARSON,F,25-34,No weapon / unknown,90,6.15
ARSON,M,35-49,Other weapon,79,5.4
ARSON,M,50-64,Other weapon,79,5.4
ARSON,M,65+,No weapon / unknown,61,4.17
ARSON,F,65+,No weapon / unknown,53,3.62
ARSON,F,35-49,Other weapon,49,3.35
ARSON,F,50-64,Other weapon,36,2.46
ARSON,M,25-34,Other weapon,35,2.39
ARSON,F,25-34,Other weapon,34,2.32
ARSON,M,21-24,No weapon / unknown,29,1.98
ARSON,M,65+,Other weapon,26,1.78
ARSON,X,18-20,No weapon / unknown,24,1.64
ARSON,F,65+,Other weapon,18,1.23
ARSON,X,21-24,No weapon / unknown,16,1.09
ARSON,F,21-24,No weapon / unknown,11,0.75
ARSON,F,21-24,Other weapon,10,0.68
ARSON,M,18-20,No weapon / unknown,10,0.68
ARSON,M,21-24,Other weapon,6,0.41
ARSON,F,18-20,No weapon / unknown,5,0.34
ARSON,M,18-20,Other weapon,5,0.34
ARSON,X,21-24,Other weapon,5,0.34
ARSON,F,25-34,Personal weapons,4,0.27
ARSON,X,35-49,No weapon / unknown,4,0.27
ARSON,F,18-20,Other weapon,3,0.21
ARSON,M,2-9,No weapon / unknown,3,0.21
ARSON,M,10-12,No weapon / unknown,2,0.14
ARSON,M,13-17,No weapon / unknown,2,0.14
ARSON,M,25-34,Personal weapons,2,0.14
ARSON,F,2-9,Other weapon,1,0.07
ARSON,F,10-12,No weapon / unknown,1,0.07
ARSON,F,13-17,No weapon / unknown,1,0.07
ARSON,F,13-17,Other weapon,1,0.07
ARSON,M,13-17,Other weapon,1,0.07
ARSON,M,65+,Personal weapons,1,0.07
ARSON,X,50-64,No weapon / unknown,1,0.07
ARSON,X,65+,No weapon / unknown,1,0.07
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,25-34,Other weapon,55,21.24
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,35-49,Other weapon,55,21.24
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,21-24,Other weapon,35,13.51
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,21-24,Other weapon,17,6.56
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,X,18-20,Other weapon,15,5.79
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,M,50-64,Other weapon,14,5.41
