AREA,AREA NAME,LAT_cell,LON_cell,Crime Count,Area Total,Crime %
1,Central,34.04,-118.26,16020,69668,22.995
1,Central,34.04,-118.25,13035,69668,18.71
1,Central,34.04,-118.27,9115,69668,13.083
1,Central,34.05,-118.25,5205,69668,7.471
1,Central,34.05,-118.24000000000001,4682,69668,6.72
1,Central,34.05,-118.26,4461,69668,6.403
1,Central,34.03,-118.27,4003,69668,5.746
1,Central,34.04,-118.24000000000001,3620,69668,5.196
1,Central,34.06,-118.25,3040,69668,4.364
1,Central,34.06,-118.24000000000001,1716,69668,2.463
1,Central,34.03,-118.26,1473,69668,2.114
1,Central,34.03,-118.24000000000001,1257,69668,1.804
1,Central,34.03,-118.25,539,69668,0.774
1,Central,34.03,-118.28,530,69668,0.761
1,Central,34.06,-118.23,308,69668,0.442
1,Central,34.07,-118.24000000000001,205,69668,0.294
1,Central,34.07,-118.25,106,69668,0.152
1,Central,34.04,-118.28,98,69668,0.141
1,Central,34.06,-118.26,89,69668,0.128
1,Central,34.07,-118.23,77,69668,0.111
1,Central,34.03,-118.23,27,69668,0.039
1,Central,34.05,-118.27,20,69668,0.029
1,Central,34.07,-118.26,19,69668,0.027
1,Central,34.05,-118.23,6,69668,0.009
1,Central,34.02,-118.27,4,69668,0.006
1,Central,33.96,-118.27,2,69668,0.003
1,Central,34.04,-118.29,2,69668,0.003
1,Central,33.72,-118.38,1,69668,0.001
1,Central,33.72,-118.27,1,69668,0.001
1,Central,33.74,-118.25,1,69668,0.001
1,Central,33.74,-118.21000000000001,1,69668,0.001
1,Central,34.0,-118.28,1,69668,0.001
1,Central,34.02,-118.28,1,69668,0.001
1,Central,34.04,-118.3,1,69668,0.001
1,Central,34.06,-118.37,1,69668,0.001
1,Central,34.06,-118.27,1,69668,0.001
2,Rampart,34.05,-118.28,7977,46824,17.036
2,Rampart,34.05,-118.27,6712,46824,14.335
2,Rampart,34.06,-118.28,4309,46824,9.203
2,Rampart,34.06,-118.27,3234,46824,6.907
2,Rampart,34.04,-118.28,2647,46824,5.653
2,Rampart,34.07,-118.28,2330,46824,4.976
2,Rampart,34.06,-118.26,2015,46824,4.303
