Timestamp OCC DT,Crime Count
2020-01-31,18576
2020-02-29,17284
2020-03-31,16188
2020-04-30,15706
2020-05-31,17230
2020-06-30,17060
2020-07-31,17158
2020-08-31,16902
2020-09-30,15658
2020-10-31,16510
2020-11-30,15596
2020-12-31,15979
2021-01-31,16636
2021-02-28,15440
2021-03-31,16354
2021-04-30,16091
2021-05-31,17020
2021-06-30,17182
2021-07-31,18690
2021-08-31,18398
2021-09-30,18386
2021-10-31,19343
2021-11-30,18374
2021-12-31,17962
2022-01-31,18567
2022-02-28,17750
2022-03-31,19745
2022-04-30,19837
2022-05-31,20467
2022-06-30,20273
2022-07-31,20009
2022-08-31,20144
2022-09-30,19341
2022-10-31,20335
2022-11-30,18755
2022-12-31,20036
2023-01-31,19970
2023-02-28,18489
2023-03-31,19214
2023-04-30,18937
2023-05-31,18908
2023-06-30,18741
2023-07-31,19935
2023-08-31,20082
2023-09-30,19321
2023-10-31,20122
2023-11-30,19074
2023-12-31,19552
2024-01-31,18926
2024-02-29,17394
2024-03-31,16293
2024-04-30,12946
2024-05-31,9386
2024-06-30,8126
2024-07-31,8170
2024-08-31,8324
2024-09-30,8309
2024-10-31,7817
2024-11-30,7179
2024-12-31,4697
