Crm Cd,Crm Cd Desc,Count,%
510,VEHICLE - STOLEN,115184,11.46
624,BATTERY - SIMPLE ASSAULT,74821,7.45
330,BURGLARY FROM VEHICLE,63515,6.32
354,THEFT OF IDENTITY,62536,6.22
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",61086,6.08
310,BURGLARY,57871,5.76
440,THEFT PLAIN - PETTY ($950 & UNDER),53716,5.35
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53523,5.33
626,INTIMATE PARTNER - SIMPLE ASSAULT,46712,4.65
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),41311,4.11
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),36940,3.68
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",35149,3.5
210,ROBBERY,32315,3.22
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),30908,3.08
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25374,2.53
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,19278,1.92
888,TRESPASSING,18424,1.83
761,BRANDISH WEAPON,14532,1.45
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,12656,1.26
901,VIOLATION OF RESTRAINING ORDER,11748,1.17
