Vict Age Group,Age Order,Vict Sex,Weapon Used Cd,Weapon Desc,count
2-9,1,F,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1374
2-9,1,F,500.0,UNKNOWN WEAPON/OTHER WEAPON,126
2-9,1,F,511.0,VERBAL THREAT,52
2-9,1,F,102.0,HAND GUN,45
2-9,1,F,106.0,UNKNOWN FIREARM,34
2-9,1,F,109.0,SEMI-AUTOMATIC PISTOL,27
2-9,1,F,307.0,VEHICLE,23
2-9,1,F,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,13
2-9,1,F,308.0,STICK,12
2-9,1,F,207.0,OTHER KNIFE,8
2-9,1,F,306.0,ROCK/THROWN OBJECT,8
2-9,1,F,512.0,MACE/PEPPER SPRAY,6
2-9,1,F,200.0,KNIFE WITH BLADE 6INCHES OR LESS,5
2-9,1,F,212.0,BOTTLE,5
2-9,1,F,302.0,BLUNT INSTRUMENT,5
2-9,1,F,304.0,CLUB/BAT,4
2-9,1,F,312.0,PIPE/METAL PIPE,4
2-9,1,F,205.0,KITCHEN KNIFE,3
2-9,1,F,201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,2
2-9,1,M,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",974
2-9,1,M,500.0,UNKNOWN WEAPON/OTHER WEAPON,149
2-9,1,M,102.0,HAND GUN,54
2-9,1,M,511.0,VERBAL THREAT,40
2-9,1,M,307.0,VEHICLE,26
2-9,1,M,106.0,UNKNOWN FIREARM,25
2-9,1,M,109.0,SEMI-AUTOMATIC PISTOL,25
2-9,1,M,308.0,STICK,16
2-9,1,M,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,10
2-9,1,M,512.0,MACE/PEPPER SPRAY,10
2-9,1,M,207.0,OTHER KNIFE,9
2-9,1,M,306.0,ROCK/THROWN OBJECT,8
2-9,1,M,205.0,KITCHEN KNIFE,7
2-9,1,M,302.0,BLUNT INSTRUMENT,7
2-9,1,M,200.0,KNIFE WITH BLADE 6INCHES OR LESS,6
2-9,1,M,212.0,BOTTLE,6
2-9,1,M,204.0,FOLDING KNIFE,5
2-9,1,M,312.0,PIPE/METAL PIPE,5
2-9,1,M,201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,3
2-9,1,M,304.0,CLUB/BAT,1
2-9,1,X,102.0,HAND GUN,13
2-9,1,X,109.0,SEMI-AUTOMATIC PISTOL,10
2-9,1,X,106.0,UNKNOWN FIREARM,7
2-9,1,X,511.0,VERBAL THREAT,5
2-9,1,X,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4
2-9,1,X,512.0,MACE/PEPPER SPRAY,3
2-9,1,X,307.0,VEHICLE,2
2-9,1,X,500.0,UNKNOWN WEAPON/OTHER WEAPON,2
2-9,1,X,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,1
2-9,1,X,205.0,KITCHEN KNIFE,1
2-9,1,X,207.0,OTHER KNIFE,1
2-9,1,X,312.0,PIPE/METAL PIPE,1
10-12,2,F,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1459
10-12,2,F,500.0,UNKNOWN WEAPON/OTHER WEAPON,114
10-12,2,F,511.0,VERBAL THREAT,85
10-12,2,F,102.0,HAND GUN,28
10-12,2,F,106.0,UNKNOWN FIREARM,12
10-12,2,F,109.0,SEMI-AUTOMATIC PISTOL,10
10-12,2,F,307.0,VEHICLE,8
10-12,2,F,308.0,STICK,7
10-12,2,F,200.0,KNIFE WITH BLADE 6INCHES OR LESS,6
10-12,2,F,207.0,OTHER KNIFE,6
10-12,2,F,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,5
10-12,2,F,512.0,MACE/PEPPER SPRAY,4
10-12,2,F,204.0,FOLDING KNIFE,3
10-12,2,F,205.0,KITCHEN KNIFE,3
10-12,2,F,201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,2
10-12,2,F,302.0,BLUNT INSTRUMENT,2
10-12,2,F,304.0,CLUB/BAT,2
10-12,2,F,306.0,ROCK/THROWN OBJECT,1
10-12,2,F,312.0,PIPE/METAL PIPE,1
10-12,2,M,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",751
10-12,2,M,500.0,UNKNOWN WEAPON/OTHER WEAPON,98
