"seller_zip_code_prefix","seller_city","seller_state","total_delivered_orders","delayed_orders_1_60","delayed_orders_rate_percent","avg_delay_days","avg_review_score","negative_reviews","negative_review_rate_percent","sort_order"
"03390",sao paulo,SP,14,9,64.29,10.11,1.00,9,100.00,1
"08223",sao paulo,SP,12,4,33.33,18.00,1.75,3,75.00,2
"32310",contagem,MG,13,4,30.77,9.50,2.00,3,75.00,3
"88801",criciuma,SC,20,6,30.00,17.17,1.83,4,66.67,4
"14010",ribeirao preto,SP,10,3,30.00,9.00,2.33,2,66.67,5
"59077",natal,RN,14,4,28.57,9.75,1.00,4,100.00,6
"02451",sao paulo,SP,15,4,26.67,7.75,2.00,3,75.00,7
"08030",sao paulo,SP,42,11,26.19,4.64,2.27,6,54.55,8
"15015",sao jose do rio preto,SP,55,14,25.45,11.14,2.14,9,64.29,9
"85851",foz do iguacu,PR,83,21,25.30,27.67,1.33,19,90.48,10
"05170",sao paulo,SP,12,3,25.00,6.67,2.67,2,66.67,11
"15840",itajobi,SP,21,5,23.81,9.60,2.00,4,80.00,12
"13145",paulinia,SP,17,4,23.53,11.50,1.75,3,75.00,13
"07097",guarulhos,SP,64,15,23.44,7.13,2.27,9,60.00,14
"89288",sao bento do sul,SC,13,3,23.08,11.33,2.33,2,66.67,15
"03017",sao paulo,SP,96,21,21.88,9.24,1.38,18,85.71,16
"07123",guarulhos,SP,14,3,21.43,7.33,1.00,3,100.00,17
"91920",porto alegre,RS,19,4,21.05,6.75,2.00,3,75.00,18
"89214",joinville,SC,43,9,20.93,8.00,1.33,8,88.89,19
"03018",sao paulo,SP,35,7,20.00,4.86,2.00,5,71.43,20
"08140",sao paulo,SP,20,4,20.00,9.75,2.00,3,75.00,21
"85880",itaipulandia,PR,10,2,20.00,8.00,1.00,2,100.00,22
"03322",sao paulo,SP,16,3,18.75,15.00,1.00,3,100.00,23
"13418",piracicaba,SP,16,3,18.75,8.67,1.00,3,100.00,24
"02969",sao paulo,SP,16,3,18.75,6.33,2.00,2,66.67,25
"65072",sao luis,MA,389,71,18.25,8.06,2.31,41,57.75,26
"13520",sao pedro,SP,33,6,18.18,6.17,1.67,5,83.33,27
"07023",guarulhos,SP,22,4,18.18,3.75,2.00,3,75.00,28
"13880",vargem grande do sul,SP,11,2,18.18,5.50,1.50,2,100.00,29
"03304",sao paulo,SP,11,2,18.18,5.50,1.00,2,100.00,30
"03445",sao paulo,SP,11,2,18.18,11.00,1.50,2,100.00,31
"21921",rio de janeiro,RJ,11,2,18.18,30.50,1.00,2,100.00,32
"74563",goiania,GO,11,2,18.18,11.00,1.00,2,100.00,33
"05303",sao  paulo,SP,50,9,18.00,7.67,1.78,7,77.78,34
"09175",santo andre,SP,17,3,17.65,8.00,2.67,2,66.67,35
"03679",sao paulo,SP,17,3,17.65,5.67,2.00,2,66.67,36
"06162",osasco,SP,63,11,17.46,10.27,2.64,6,54.55,37
"13253",itatiba,SP,35,6,17.14,8.00,2.33,4,66.67,38
"06506",santana de parnaiba,SP,108,18,16.67,5.83,1.39,16,88.89,39
"11040",santos,SP,30,5,16.67,6.00,2.20,3,60.00,40
"03520",sao paulo,SP,18,3,16.67,8.00,2.33,2,66.67,41
"14078",ribeirao preto,SP,12,2,16.67,11.50,1.50,2,100.00,42
"87030",maringa,PR,247,41,16.60,9.68,2.02,28,68.29,43
"35530",claudio,MG,86,14,16.28,7.43,2.00,10,71.43,44
"09560",sao caetano do sul,SP,43,7,16.28,10.00,1.86,4,57.14,45
"25561",sao joao de meriti,RJ,37,6,16.22,9.33,1.00,6,100.00,46
"01021",sao paulo,SP,37,6,16.22,13.33,2.00,4,66.67,47
"01512",sao paulo,SP,68,11,16.18,7.27,1.27,10,90.91,48
"31910",belo horizonte,MG,57,9,15.79,8.67,1.78,7,77.78,49
"13483",limeira,SP,216,34,15.74,12.24,1.79,25,73.53,50
"14085",ribeirao preto,SP,78,12,15.38,10.58,1.83,9,75.00,51
