"seller_city_analysis","delivered_reviewed_orders","late_delivery_rate_percent","negative_review_rate_percent","avg_review_score","avg_approval_to_carrier_days","avg_delay_days","delay_1_7_orders","delay_8_14_orders","delay_15_21_orders","delay_22_30_orders","delay_31_60_orders","avg_latitude","avg_longitude","late_delivery_rate_gap_vs_sp_avg","negative_review_rate_gap_vs_sp_avg","approval_to_carrier_gap_vs_sp_avg","follow_up_priority"
sao paulo,24005,6.57,13.38,4.07,2.52,9.01,956,363,114,77,52,-23.573137,-46.623433,-0.50,0.21,-0.11,Monitor closely
ibitinga,6377,8.77,18.16,3.83,2.60,11.07,292,140,69,31,22,-21.757321,-48.829744,1.70,4.99,-0.03,Monitor closely
santo andre,2626,5.67,12.76,4.16,2.35,7.53,95,31,14,5,4,-23.651969,-46.523930,-1.40,-0.41,-0.28,Below SP average
ribeirao preto,2198,11.01,16.79,3.94,2.70,10.54,118,70,28,13,12,-21.173436,-47.801986,3.94,3.62,0.07,High priority
guarulhos,2018,7.53,12.59,4.13,2.65,9.32,93,28,16,10,4,-23.451905,-46.521864,0.46,-0.58,0.02,Monitor closely
sao jose do rio preto,1933,8.33,13.61,4.02,3.16,10.29,91,29,28,8,3,-20.808448,-49.387237,1.26,0.44,0.53,High priority
piracicaba,1609,6.34,12.87,4.05,2.02,10.69,58,21,10,4,7,-22.711159,-47.662675,-0.73,-0.30,-0.61,Below SP average
campinas,1230,6.10,16.26,4.06,3.14,10.64,41,18,9,3,3,-22.892120,-47.065374,-0.97,3.09,0.51,Monitor closely
itaquaquecetuba,1218,8.78,24.47,3.41,10.87,12.06,55,27,9,5,9,-23.484239,-46.365175,1.71,11.30,8.24,High priority
praia grande,1205,5.06,11.78,4.19,2.38,9.65,41,9,6,1,4,-24.016658,-46.445045,-2.01,-1.39,-0.25,Below SP average
salto,1198,6.01,11.19,4.16,2.62,6.34,52,10,6,4,0,-23.199225,-47.300431,-1.06,-1.98,-0.01,Below SP average
guariba,1116,10.39,13.08,4.14,2.28,9.20,63,27,17,9,0,-21.363502,-48.229601,3.32,-0.09,-0.35,Monitor closely
campo limpo paulista,1099,5.28,10.56,4.15,2.78,9.76,30,16,4,7,0,-23.211746,-46.762875,-1.79,-2.61,0.15,Monitor closely
sao bernardo do campo,996,7.03,10.24,4.20,1.99,9.25,42,15,6,4,3,-23.714081,-46.551387,-0.04,-2.93,-0.64,Below SP average
jacarei,869,8.63,17.72,3.91,2.98,7.46,47,17,8,2,1,-23.301888,-45.970513,1.56,4.55,0.35,High priority
limeira,816,10.05,11.03,4.18,2.50,11.57,42,17,12,3,7,-22.581792,-47.415954,2.98,-2.14,-0.13,Monitor closely
sao jose dos campos,617,10.21,15.56,3.85,3.87,15.25,37,9,6,5,4,-23.219650,-45.891376,3.14,2.39,1.24,High priority
pedreira,608,4.93,12.01,4.13,3.11,11.24,20,6,0,3,0,-22.740325,-46.896754,-2.14,-1.16,0.48,Monitor closely
santa barbara d'oeste,601,5.99,14.48,4.18,1.57,10.49,21,8,3,2,2,-22.758138,-47.405070,-1.08,1.31,-1.06,Monitor closely
sumare,594,8.42,9.43,4.38,2.17,10.98,23,11,9,5,2,-22.821829,-47.269097,1.35,-3.74,-0.46,Monitor closely
atibaia,587,8.69,12.78,4.11,1.96,8.75,35,8,2,2,4,-23.114702,-46.554495,1.62,-0.39,-0.67,Monitor closely
franca,586,10.75,14.33,4.08,2.00,8.78,35,15,10,1,2,-20.538822,-47.396657,3.68,1.16,-0.63,Monitor closely
osasco,525,6.86,14.48,4.09,3.27,9.07,17,12,4,1,2,-23.545660,-46.790825,-0.21,1.31,0.64,Monitor closely
santos,501,4.99,14.37,4.07,2.76,10.41,16,3,4,1,1,-23.954595,-46.327019,-2.08,1.20,0.13,Monitor closely
sorocaba,480,5.83,12.29,4.13,2.83,8.32,16,7,3,1,1,-23.500264,-47.465259,-1.24,-0.88,0.20,Monitor closely
itatiba,440,11.14,16.59,4.00,4.33,9.98,25,8,13,3,0,-22.995205,-46.844065,4.07,3.42,1.70,High priority
barueri,439,4.78,9.79,4.28,2.52,13.64,15,3,2,0,0,-23.499153,-46.911531,-2.29,-3.38,-0.11,Below SP average
maua,431,3.02,8.82,4.26,2.25,5.14,9,4,0,0,0,-23.677507,-46.446371,-4.05,-4.35,-0.38,Below SP average
penapolis,425,7.53,13.41,4.09,2.82,9.06,18,9,1,2,2,-21.429905,-50.069010,0.46,0.24,0.19,High priority
jau,402,3.73,12.94,4.14,3.26,9.25,6,8,0,1,0,-22.276554,-48.542801,-3.34,-0.23,0.63,Monitor closely
presidente prudente,376,5.05,11.44,4.19,2.09,7.26,12,5,2,0,0,-22.113592,-51.404702,-2.02,-1.73,-0.54,Below SP average
mogi das cruzes,300,10.33,12.33,4.08,1.81,14.25,14,7,4,3,3,-23.523809,-46.192889,3.26,-0.84,-0.82,Monitor closely
assis,285,4.56,12.28,4.16,2.38,7.29,7,6,0,0,0,-22.662443,-50.421058,-2.51,-0.89,-0.25,Below SP average
hortolandia,259,5.41,8.88,4.32,2.86,7.18,10,2,1,0,1,-22.889991,-47.198899,-1.66,-4.29,0.23,Monitor closely
indaiatuba,245,9.80,16.33,4.08,4.23,23.04,12,6,0,3,2,-23.095284,-47.218554,2.73,3.16,1.60,High priority
jundiai,234,6.84,16.24,3.98,2.26,11.31,9,3,2,1,1,-23.203130,-46.886028,-0.23,3.07,-0.37,Monitor closely
guara,226,10.62,15.49,4.02,2.41,13.17,10,8,1,3,2,-20.432177,-47.824164,3.55,2.32,-0.22,Monitor closely
dracena,225,8.00,10.22,4.09,4.25,10.63,9,4,2,2,1,-21.486393,-51.533744,0.93,-2.95,1.62,Monitor closely
laranjal paulista,222,12.16,13.96,4.06,4.72,10.97,13,5,6,3,0,-23.049552,-47.837621,5.09,0.79,2.09,High priority
araraquara,219,7.31,10.05,4.29,1.84,8.65,9,5,2,0,0,-21.782790,-48.175115,0.24,-3.12,-0.79,Monitor closely
cotia,210,2.86,9.52,4.35,1.71,7.00,4,2,0,0,0,-23.611067,-46.893226,-4.21,-3.65,-0.92,Below SP average
votorantim,202,9.90,12.87,4.05,2.98,7.04,13,5,2,0,0,-23.543258,-47.457254,2.83,-0.30,0.35,Monitor closely
cajamar,196,5.10,4.59,4.44,1.07,12.20,7,1,0,1,1,-23.370949,-46.847994,-1.97,-8.58,-1.56,Below SP average
serra negra,191,5.76,9.42,4.34,1.72,8.27,5,4,2,0,0,-22.614621,-46.709593,-1.31,-3.75,-0.91,Below SP average
mogi guacu,191,3.66,7.85,4.37,2.77,5.25,5,1,1,0,0,-22.379777,-46.938769,-3.41,-5.32,0.14,Monitor closely
carapicuiba,188,6.38,6.38,4.23,1.72,6.92,9,2,0,1,0,-23.558280,-46.834343,-0.69,-6.79,-0.91,Below SP average
marilia,187,5.88,17.65,3.97,3.54,12.31,5,4,0,0,2,-22.195916,-49.954613,-1.19,4.48,0.91,Monitor closely
diadema,175,7.43,11.43,4.24,1.80,7.77,7,3,2,1,0,-23.685081,-46.611458,0.36,-1.74,-0.83,Monitor closely
itapecerica da serra,173,6.36,10.40,4.19,1.41,10.36,5,4,1,0,1,-23.715931,-46.856466,-0.71,-2.77,-1.22,Below SP average
